query,category
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Teddy day during Valentine's day week. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"The famous Aloo Lachha/Potato Sticks from Chandni Chowk's Kanwarji Dalbijiwala comes in three different flavours. This Lal-Spicy flavour, as the name suggests, is for those who like their savouries extra spicy.",Grocery & Gourmet Foods
"200 Gm California Almond in Jar. Dry fruits contain lots of healthy fats, fiber, protein, magnesium and rich in vitamin E. The health benefits of almonds include lower blood sugar levels, reduced blood pressure and lower cholesterol levels. They can also reduce hunger and promote weight loss.",Grocery & Gourmet Foods
"Ottima Peeled Tomato, 800g",Grocery & Gourmet Foods
"This super delicious pack of multi-millet dosa mix comes from our farmers in southern India. Made from the finest blend of organic millets, this pack of dosa mix are not only delicious but also easy to cook. We hope you loved this product as much as we loved bringing it to you. Ingredients, organically grown ragi, bajra, foxtail millet, little millet, proso millet, kodo millet, jowar and black gram dal. Cooking instructions, add dosa mix to water. For 1 cup dosa mix, add 1. 5 Cup water. Stir well and soak for 30 minutes. After 30 mins dosa batter is ready to cook. Serve hot.",Grocery & Gourmet Foods
Stevia in the Raw Zero Calorie Sweetener With Dextrose 800 Grams,Grocery & Gourmet Foods
"The exotic flavors of chocolate truffles are sure to tickle your taste buds. The assorted belgian chocolates are perfect for the younger age group and also for those, who are young at heart. It offers heavenly treat of truffles. Chocholik is of the leading top brand to use high quality belgian imported coverture chocolate beans and process through european machines to give the same quality in india. Chocholik is the only indian brand which has its innovative special ice packaging to send chocolates anywhere in india at any temperature, during any period of the month. However, in case case of any issue, you can approach the most friendly customer support team.",Grocery & Gourmet Foods
"First time in India, Newtrition Plus brings to you Syrups which are absolutely Free from Sugar, Zero Calories and Diabetic Friendlywith same sweet natural taste like that of sugar",Grocery & Gourmet Foods
"Crispy and Delicious special Ghasitarams Masala Peanuts made from Peanuts, Gram Flour,Vegetable Edible Oil, Iodized Salt, Spices and Condiments. All these Namkeens are vaccum packed and nitrogen flushed to retain their freshness.. Net weight: 800 gms.The bowl shown is not a part of the product,its only for display.",Grocery & Gourmet Foods
"1.Using a variety of quality ingredients and our secret recipe, we make our chocolate center and creams in small batches to ensure you get the freshest chocolate available. 2.At The Deesha Food Chocolate Company we bring you the rich, creamy, and robust flavors of our chocolates, with the years of expertise needed to perfect our flavors and textures. 3. Chocolate should be stored in a cool, dry place at room temperature. 4.Please consume within 6 months from the date of manufacturing for the best experience. 5. We look at cacao like a winemaker looks at grapes. Our job is to discover and highlight the most interesting and exciting flavors a single origin cacao has to offer. We want the chocolate to be expressive of the terroir, the type of cacao, the weather, even the culture from where it is grown. Single origin chocolates are like character actors.",Grocery & Gourmet Foods
"Theni Periyakulam Sadhuraigiri is one of the tastiest murukku brand from Tamilnadu. The authentic taste of this snack will make you eat again and again. Less oil , Fresh, Crispy and natural ingredients.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Holi. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"A promise of love, affection, goodwill, and care. Especially care! Following this train of thought to celebrate the evergreen spirit of Raksha Bandhan.Great gift sets ranging from utility to home decor for Brother alone. Neatly packed Rakhis with an endearing Rakhi card.High quality materials and a handmade expertise when crafting our rakhis. An ideal gift that any brother will remember fondly for years to come when he keeps it by his desk or journal.",Grocery & Gourmet Foods
"Alive Cocunut Oil is Expeller Pressed coconut Oil and is 100% natural extract and manufactured in Gods Own Country Kerala,Alive coconut oil is used for cooking and dietary , Cocunut oil is one of the healthiest cooking oil with numerous health benefit. It can also be consumed directly as a dietary supplement or mixed with food in its raw form , Our cooking oil comes with a host of other health benefits, which makes it perfect for the all-round health of your family.",Grocery & Gourmet Foods
"Having born and brought up in a Bihari family, a well decorated thali is a must when anyone settles down to eat. As the season alters, so does the Bihari thali, every three to four months. What remains incessant in those thalis are some of the obligatory food items like ghee, papad and pickles. While the former two items were elementary to make at home, pickles needed time and effort to be made. In the earlier times, our grandparents had time and energy to tend to these pickles, but now in the busy lives, it is not so easy to make after all. The other thing which changed with time was the new varieties of pickles that came into the market, offering a typical flavors, textures and ingredients. However, we noticed that people still craved for the same ‘ma ke hath ka’ pickle, which their moms could not make at home anymore. So, as a part of Shyesh food and beverages, we decided to offer our customers what they needed; the same mom’s special pickle, in the same flavors and textures, yet maintaining naturalness and organic ingredients in it. Our Pickles are hand crafted with Farm fresh ingredients. They are naturally made with no preservatives and color.This pickle is packed with bunch of mouthwatering flavors: the aroma and sweetness of fennel; the mild bitterness yellow mustard and nigella seeds; the tanginess of amchur; and of course, the flavor of the mustard oil. The experience: Aroma: Earthy aroma that automatically reminds you of the same pickles that your mom and grandmas used to make. Taste: It is a blend of sour, tangy and Umami flavors with a subtle rounder mouthfeel after note to it. Food compliments: All kinds of Indian parathas, Indian thalis, khichdi, Chole bhature, Jhaal muri and add a tablespoon of our pickles to make a simple meal flavorsome.",Grocery & Gourmet Foods
"Fill the day of your loved ones with lots of sunshine and sweetness, by sending this gift box. Buy chocholik special diwali gift hampers, diwali luxury chocolates, diwali sweets. The exotic flavors of chocolate are sure to tickle your taste buds. The assorted belgian chocolates are perfect for the younger age group and also for those, who are young at heart. It offers heavenly treat of lovely chocolates. Chocholik is of the leading top brand to use high quality belgian imported coverture chocolate beans and process through european machines to give the same quality in india. Renowned for its international quality, belgian chocolates are just the right gift for any season. Send these gifts to your near ones and surprise them with amazing quality and packing.",Grocery & Gourmet Foods
Annapoorna presents chilly powder which weighs 50 grams. This chilly powder has a shelf life of 12 months and must be stored in cool and dry place.,Grocery & Gourmet Foods
Friendship day is a time when you can feel free to say whatever you have been thinking for long!! Mesmerize your friends with this chocolate box. Chocholik chocolate gifts are an amazing gift to send to your friends. Send these friendship day gifts to your friends surprise them with amazing quality and packing. Best friendship day gifts for your best friends.,Grocery & Gourmet Foods
Ingredients 1/2 cup plain aniseed. 1/2 cup Chuara Supari (or sugar candy) Few drops red food color. Few drops green food color. 1 teaspoon rose essence. 1 teaspoon peppermint essence.,Grocery & Gourmet Foods
"Green peas are a garden favourite. Whether you grow English peas for shelling, or edible-podded snow and snap peas, there is nothing like the taste of fresh, sweet peas in spring. Fresh peas picked straight from the garden are a revelation! Once you have tasted how sweet they really taste, you will never want to eat frozen peas again. Better still, growing pea plants is incredibly easy and you can achieve a good yield in a small space. In fact, you can even grow them in containers on the patio for a really space-saving crop.",Grocery & Gourmet Foods
"Experience the freshness in every sip of Mohani Goodtime Superior tea. Carefully handpicked, blended and packed in the supervision of our expert tea team, it provides you with a burst of energy with every sip. It is one of our most preferred picks amongst the masses.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Karvachauth. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"A box filled with amazingly sweet love for your brother and sister-in-law coupled with an chocolate box. Chocholik rakhi chocolate gifts are an amazing gift to send to your brother, sister. Send these rakhsabandha gifts to your brother or sister surprise them with amazing quality and packing. Best rakhi gifts for brother and best rakhi gifts for sister.",Grocery & Gourmet Foods
Sweet and sour Lime Pickle with a tinge of original Indian spices. It creates a lasting taste in the mouth that makes you ask for more. It is a must have in your kitchen. It is liked by both adults and children.,Grocery & Gourmet Foods
"Best an ever gift for your loved ones. This elegant 20 chocolate wooden box will bring twinkle in eyes. This box contains cranberry fruit in 50% dark chocolate, roasted almonds and cashew strawberry in 30% dark chocolate. Get free rakhi",Grocery & Gourmet Foods
Healthy snacking for better living Nutritous and tasty Handpick and carefully packed Premium Selected Quality Products needs to be refigerated once opened.,Grocery & Gourmet Foods
"The exotic flavors of chocolate truffles are sure to tickle your taste buds. The assorted belgian chocolates are perfect for the younger age group and also for those, who are young at heart. It offers heavenly treat of truffles. Chocholik is of the leading top brand to use high quality belgian imported coverture chocolate beans and process through european machines to give the same quality in india. Chocholik is the only indian brand which has its innovative special ice packaging to send chocolates anywhere in india at any temperature, during any period of the month. However, in case case of any issue, you can approach the most friendly customer support team.",Grocery & Gourmet Foods
"KAMDAR DRY FRUITS brand brings you dried fruits, nuts and seeds. Dried Fruits are rich in beneficial nutrients including vitamin A, vitamin B1, vitamin B2 calcium, iron, phosphorus, sodium, and chlorine. Nuts are very nutritious and perfectly good for healthy life. Seeds are important for wellness and health these seeds can become your super food blast.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift Durga Pooja. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"Raw Natural Unprocessed Forest Flower Honey ,Natural Pure 100% raw natural bee honey of highest quality from the foot hills and pristine orchards of Rajasthan . Raw honey contains all naturally occurring vitamins A, B-complex, C, D, E, and K, a whole lot of minerals, amino acids and hundreds of live enzymes to give you in-numerous health benefits.",Grocery & Gourmet Foods
"They Are Good For Your Skin And Help In Weight Loss And They Are Cholesterol Free And Thus, Good For Your Heart",Grocery & Gourmet Foods
"Twinings Breakfast Blend Tea 6/20 Bag. You Deserve A Better Cup Of Tea. In Fact, You Deserve The Perfect Cup Of Tea. Choosing Your Favorite Twinings Blend Is An Excellent Start.. (Note: This Product Description Is Informational Only. Always Check The Actual Product Label In Your Possession For The Most Accurate Ingredient Information Before Use. For Any Health Or Dietary Related Matter Always Consult Your Doctor Before Use.)",Grocery & Gourmet Foods
"Beauty Lies in the Eyes of Beholder!!!! Occasion Type: Birthday, anniversary, marriage, valentine's day, mothers day, miss you, Diwali, father's day CARE: These are fresh flowers. Keep the flowers away from direct sunlight or near any other source of excessive heat and fire. Please do not apply pressure ADD AS A GIFT: greeting cards making, greeting cards on teachers day, greeting card, diwali gift, greeting cards handmade, valentine gift, valentine gifts for girlfriend . ♥ Convey the 'special feeling' of 'pure love and commitment' to your loved ones with Garden Premium Fresh Flower with Message in a Bottle Designs. ♥ We make our bouquets with special care and love for our customers and use dice of silver flakes on top so that it glitters mildly to show your sparkling love!",Grocery & Gourmet Foods
"Our Alessi Breadsticks Are Imported From Italy And Are Made With The Same Grissini Torinesi (Turin Style) Recipe Of Centuries Ago. We Use Only The Highest Quality Ingredients, Including Our Own Alessi Extra Virgin Olive Oil. Enjoy Alessi Breadsticks As An Anytime Snack In All Of The Available Flavors: Plain, Sesame, Garlic, Or Rosemary",Grocery & Gourmet Foods
All time favourite salted almonds fried in Pure Ghee for your loved ones. Net Weight: 200 gms. All these dryfruits are vaccum packed and nitrogen flushed to retain their freshness.,Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Valentine's day. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"Presenting a unique gift box with lovely wishes for diwali. Inside this beautiful and light weight box are assorted belgian chocolates. The exotic flavors of chocolate truffles are sure to tickle your taste buds. The assorted belgian chocolates are perfect for the younger age group and also for those, who are young at heart. It offers heavenly treat of truffles. Chocholik is of the leading top brand to use high quality belgian imported coverture chocolate beans and process through european machines to give the same quality in india.",Grocery & Gourmet Foods
Wish your beloved relatives and friends with happy Diwali bar and 14 luscious chocolates. Along with delicious Diwali your friends and relatives will also enjoy the lovely moments you have shared together. Happy Diwali. You cannot go wrong with chocolates,Grocery & Gourmet Foods
"Good in fiber but low in carbs, flax is extremely good in both soluble and insoluble fiber which can support colon detoxification. Omega 3",Grocery & Gourmet Foods
"Gir Ahinsak Gau Ghee is made by Bansi Gir Gaushala, declared as the No.1 Gaushala in Bharat, awarded the Kamdhenu Award by the Government of Bharat in 2017. What is so special about Gir Ahinsak Gau Ghee? Gir Ahinsak Gau Ghee is a demonstration of what ancient Vedic purity can bring. When we truly embrace Gaumata with love, we also bring back purity to Nutrition, Farming and Healthcare. A pristine gift which is an outcome of Vedic Gopalan (‘Cow’ care, rearing & breeding). By choosing this product, you support Vedic standards of care which are healthier and ethical. Ahinsak – Adheres to ancient Vedic practice of ‘dohan’ where calf is free to feed from 2 ‘Anchals’, while the remaining two ‘Anchals’ are used to obtain milk for other living beings. Ethical & Non-exploitative – we never ‘get rid of’ non-lactating Gaumata’s (‘Cow’ as Divine Mother) or male calves. We don’t employ artificial insemination, hormone treatments or milking machines. We like to see our Gaumata’s as family. Artisan - Made using traditional Vedic bilona process – derived from butter of curdled whole A2 milk (instead of just cream) of pure breed Gir Gaumata’s using a slow wood fired flame to retain maximum nutrition. Organic, non-GMO and Ayurvedic feed - Gaumata’s are free to graze in a field nurtured with organic manure, dry feed is non-GMO and as far as possible organic. Rich Ayurvedic herbs also added to the feed. Healthier Gaumata’s – Owing to our Ahinsak, Non-exploitative and Natural approach, our Gaumata’s are healthier, with some lactating at the age of 23 years even after giving birth to 16 calves. We also don’t keep our Gaumata’s tied up. Ayurvedic – calms Vata and Pitta dosha’s, feeds ojas, improves strength & intelligence, improves digestion, aerobic performance, vision and fertility. Highly nutritious – Naturally rich in vitamins and beneficial fatty acids.",Grocery & Gourmet Foods
"Ganesh Chaturthi is the occasion of fun, love, care and blessings from lord ganesha. Enjoy each moment with your beloved family and friends. Gift them special and personalized happy Ganesh Chaturthi chocolate box.",Grocery & Gourmet Foods
The product is available in a pack of 100 grams and has a shelf life of 180 days. Store in a cool and dry place below 30 degrees for best results.,Grocery & Gourmet Foods
Naturally yours organic flax seeds are rich in omega 3 seeds. 100% Vegetarian and helps improve bowel health.,Grocery & Gourmet Foods
"Raksha bandhan is a time when you can feel free to say whatever you have been thinking for long. Chocholik rakhi chocolate gifts are an amazing gift to send to your brother, sister. Send these rakhsabandha gifts to your brother or sister surprise them with amazing quality and packing. Best rakhi gifts for brother and best rakhi gifts for sister.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. This is the best gift with rakhi. Printed chocolates. ChocoCraft deals in making beautiful gifts for all occasions like Wedding, Birthday, Corporate gifting.",Grocery & Gourmet Foods
Casa Rinaldi Red Vinegar - 1Ltr,Grocery & Gourmet Foods
"Size:1 Pound Dad'S Root Beer Barrels, 1Lb",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused.",Grocery & Gourmet Foods
"Just add Whipping Color to melting cream and mix very well. Do Not Beat! Once color is well mixed, keep in refrigerator for 20 min for color to develop. After 20-30 min., again mix and check if the color is what you want. If need more intensity, you can add more and repeate cooling in refrigerator and mixing. Once color is achieved, start beating.",Grocery & Gourmet Foods
"Restoring the joy of easy cooking. Natural taste & aroma of product with great results everytime! Quick and simple with all the qualities of fresh produce. Our process retains all the butritional value of raw vegetables, making it a healthy addition to your recipes. Soups, Souces, Curries - everything is simpler with La Faire.",Grocery & Gourmet Foods
Olive oil made from fresh olives that comes from the region of Mediterranean. Mediterranean diet is considered to be one of the healthiest diets in the world where olive oil is an important part.,Grocery & Gourmet Foods
"Dehydrated and Ozonated for natural preservation using our proprietary technology Our sunflower seeds are a healthy and delicious snack. These sunflower seeds are premium in size and taste. They're an excellent source of protein, fibre and minerals. Our seeds sprouts are popular due to their great taste and rich source of nutrients, fibres and healthy fats, the quality-approved array of Sunflower Seeds offered by us forms an essential part of one's diet. Roasted to perfection. Contains no salt. Best for cardiac patients and consumers opting for low-sodium or no-sodium diet. Add to salads, soups, cookies, oatmeal etc. for a lovely, healthy crunch.",Grocery & Gourmet Foods
"Midiron Happy Raksha Bandhan gift for your brother. This Rakhi gift set including Printed Mug with 2 Midiron Chocolate Bar and this chocolate bar saying “Happy Raksha Bandhan”. Want to gift your bhaiya something unique this Raksha Bandhan? This extravagant combo of printed Mug and milk chocolates is perfect to make your relationship stronger and happier with them Midiron Chocolates have unique secret recipes, driven by their unmatched standard for chocolate quality and their passion for creative excellence. They start with the selection of the finest raw materials and highest quality ingredients. So celebrates the Rakhi with this sweet gift pack. Mug Material: Ceramic, Filling Capacity: 325 Ml, Microwave Safe, freezer safe, Non Toxic, Easy to Wash",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for women's day. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"A flavour that packs in the earthy, nutty, creamy taste of a handpicked mix of crunchy and sweet nuts to enhance and elevate your culinary creations. Add this flavour to chocolate, cakes and nut-based milkshakes for a party in taste. Ossoro recommends using 2-3ml of flavour per kilo of dough. Each ml measures approximately 20 drops of the essence. This product is 100 percent vegetarian, contains no preservatives and is free from spirit.",Grocery & Gourmet Foods
Dry mango pickle straight from the foothills of Himalayas in Uttarakhand. With no added preservatives.,Grocery & Gourmet Foods
Chia Mango Chilli Jam - A smooth and balanced spread of sweetness and spice. Alphonso's and chilli merge to give you a double kick of taste sensation. Chia enhances this blend with omega 3 goodness making it very healthy.,Grocery & Gourmet Foods
"LABA, a flagship product of Mithila Naturals is a roasted Makhana prepared with lip-smacking seasonings. Mithila Naturals, brings you the crunch munch of in-house production of Non Toxic Makhana snacks - extremely nutritious, tasty and healthy. As a neo avtar of Mithila Makhan, LABA is both tasty and healthy at the same time. Not only this, the premium snacks also boasts of Gluten Free, Trans fat Free, GMO Free processing and is all done in healthy olive oil while preserving the raw taste to pamper your taste buds. Now you won’t have the guilt of finishing the whole bag alone!",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Christmas. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"Garam masala is a blend of ground spices used extensively in Indian cuisine. The spices for garam masala are usually toasted to bring out more flavor and aroma, and then ground. The word masala simply means ""spices,"" and garam means ""hot."" However, garam masala doesn't necessarily constitute a particularly spicy blend. The powdered form is typically gluten-free, vegan, and vegetarian, while you will need to check the label for garam masala paste to see what is included. Indian vegetable or meat dishes often include garam masala for seasoning. In Northern Indian cuisine, garam masala is typically in powder form, while in the southern part of the country, garam masala is often formed into a paste with coconut milk, vinegar, or water. It is made year-round. Garam masala sometimes used on its own, but it can be mixed with other seasonings as well.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Valentine's day. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
RAKHI Combo : This RaKHI Combo is made with every essential products required for your loving Brother. Included in the Combo : 1. Attractive Rakhi : Rakhi selected in this combo is handpicked on the bases of Trending desings. This OM Rakhi can also be wore as Fancy Bracelet post Raksha Bandhan. Give it as memory for your brother. 2. Chocolates : As per Indian Tradition Rakhi is tied to brother's hand along with Sweets. We have made this possible by adding Chocolate in the Combo. 3. Roli and Chawal : Roli and Chawal / Tilak are added in the Combo| this Rakhi Pooja items | rakhi for brother | rakhis for rakshabandhan resents the Blessing of Health and Prosperity for your brother.,Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. This is the best gift with rakhi. Printed chocolates. ChocoCraft deals in making beautiful gifts for all occasions like Wedding, Birthday, Corporate gifting.",Grocery & Gourmet Foods
100% Real Fruit juice (Imported from Thailand) with no added sugar or preservatives packed with all essential vitamins and minerals that will rejuvenate your mind and re-energise your body,Grocery & Gourmet Foods
"A present of delight, taste and love, the offered box from chocholik will light up the festival of diwali for your loved ones in such a way that they will never forget. Buy chocholik special diwali luxury chocolates, diwali sweets in special boxes. The exotic flavors of chocolate are sure to tickle your taste buds. The assorted belgian chocolates are perfect for the younger age group and also for those, who are young at heart. It offers heavenly treat of lovely chocolates. Chocholik is of the leading top brand to use high quality belgian imported coverture chocolate beans and process through european machines to give the same quality in india. Renowned for its international quality, belgian chocolates are just the right gift for any season. Send these gifts to your near ones and surprise them with amazing quality and packing.",Grocery & Gourmet Foods
"Thillais is our brand of spice for the retail sector and food service industry. We offer a range of basic spice powders, spice mixes and masala powders/seasonings for the food service industry.Peninsular export company is part of the VPSA Paramasiva Nadar group of companies and is the result of combining the various intrinsic strengths of each of the group companies that range from raw material procurement, manufacturing expertise and selling and distribution skills. Peninsular export company has launched a range of spice powders and spice blends in consumer packs under the name and style of Thillai’s.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Chocolate day during Valentine's day week. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
Sweetness of cinnamon mixed with cream of cashew and together centre filled in 30% dark chocolate. This classic wooden box is reusable post consuming these 20 luxurious chocolates.,Grocery & Gourmet Foods
"Chef Solutions indian tandoori seasoning is created by our master chef giving it a delicate smoky flavour combined with 40 spices from across indian sub-continent. Tailored for culinary professionals with diverse applications ranging from marinades, sauces, dip and sprinkler characteristics. Usage Chef Solutions 3 in 1 seasonings can be used on starters, dip cups, sandwich & burger base, use with mayo & tomato ketchup, fruit salads, french fries, popcorn, rice, . Directions for use: as marination, use 40 gms of seasoning with oil and water for 1 kg of raw meat. 1. Prepare the marinade by mixing equal parts of oil and water 25ml each, for every one kg of raw meat and 40 gms of seasoning. 2. Immerse the meat in the made mixture for atleast 4 hours prior to cooking of same.",Grocery & Gourmet Foods
"The crisp, creamy pralines in mouth watering flavors of dark, white or milk chocolate are packaged in a gorgeous gift box. These assorted chocolates are just perfect for those who love all the flavors. Buy chocholik special diwali gift hampers, diwali luxury chocolates, diwali sweets. The exotic flavors of chocolate are sure to tickle your taste buds. The assorted belgian chocolates are perfect for the younger age group and also for those, who are young at heart. It offers heavenly treat of lovely chocolates. Chocholik is of the leading top brand to use high quality belgian imported coverture chocolate beans and process through european machines to give the same quality in india. Renowned for its international quality, belgian chocolates are just the right gift for any season. Send these gifts to your near ones and surprise them with amazing quality and packing.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Christmas. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"Cloves are the rich, brown, dried, unopened flower buds of Syzygium aromaticum, an evergreen tree in the myrtle family. The name comes from the French ""clou"" meaning nail. Cloves are native to the Molucca Islands, now a part of Indonesia and also from Madagascar and Sri Lanka. In addition to their sweet, aromatic flavour, cloves are known for their potent medicinal properties, some of which include aiding in digestion, boosting the immune system, controlling diabetes, and preserving bone quality. They also contain anti-mutagenic and anti-microbial properties, along with fighting against oral diseases and headaches.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift for Valentine's day. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"This Chocolate Gift Box contains delectable assorted Chocolates. Filled with roasted almonds, fruit & nuts and butter scotch, they will tempt and delight the taste buds. These are packed in a beautiful wooden box especially designed for an elegant presentation. The sturdy box can be reused. The best gift to Congratulate someone. Lots of options for box design & chocolate design. ChocoCraft is the manufacturer of customised chocolates specialise in making printed chocolates. We offer gifting solutions for corporates and personal occasions.",Grocery & Gourmet Foods
"This is Sesame oil manufactured using traditional method. Traditional cold pressed oils are believed to have maximum amount of vitamins and essential nutrients, while retaining longer shelf life. The product comes with proper cap with a tamper proof cork in it. The oil is suitable for cooking, body massage and oil pulling purposes.",Grocery & Gourmet Foods
"Product description Brinjal Thokku - A fingerlicking traditional preserve prepared using tender brinjals. It is an ideal mix of aromatic spices, age old recipe and tiny pieces of brinjals. It can be consumed as an accompaniment with your regular meal or can be eaten with a hot plate of rice and a dollop of ghee. Grand Sweets - established in 1982, this brand is renowned for authentic south Indian snacks, savouries, sweets, masalas and rice mixes.",Grocery & Gourmet Foods
"Green Raisins are tasty and healthy so can be consumed like a snack or can be added in desserts, cookies, pies, puddings. It contains several nutrients like vitamins, minerals, and antioxidants.It is consumed to reduce cholesterol, improve digestion, bone health, iron levels, acidosis, fever. It contain ns several vitamins and minerals like Vitamin C, folate, thiamin, niacin, riboflavin, vitamin B-6, Potassium, calcium, magnesium, phosphorus, iron, zinc and sodium. It's antioxidants prevents premature ageing and improves immunity. Cashews are rich in vitamins, minerals, and antioxidants. Cashews have several essential vitamins like B1, B6, B5. It also contains minerals like copper, iron, magnesium, pottasium, zinc. It is consumed for bones, eyes, skin and hair health. Cashews are not only tasty in itself but also add tastes in many foods like every paneer recipe and every sweet dish.Green Raisins are tasty and healthy so can be consumed like a snack or can be added in desserts, cookies, pies, puddings. It contains several nutrients like vitamins, minerals, and antioxidants.It is consumed to reduce cholesterol, improve digestion, bone health, iron levels, acidosis, fever. It contain ns several vitamins and minerals like Vitamin C, folate, thiamin, niacin, riboflavin, vitamin B-6, Potassium, calcium, magnesium, phosphorus, iron, zinc and sodium. It's antioxidants prevents premature ageing and improves immunity. Cashews are rich in vitamins, minerals, and antioxidants. Cashews have several essential vitamins like B1, B6, B5. It also contains minerals like copper, iron, magnesium, pottasium, zinc. It is consumed for bones, eyes, skin and hair health. Cashews are not only tasty in itself but also add tastes in many foods like every paneer recipe and every sweet dish. Nutty Desires provides fresh and naturally grown California almonds to its consumers. It is consumed for brain, heart, diabetes and weight loss. It's antioxidants prevents ageing.",Grocery & Gourmet Foods
